GROUP,1_RA_FMT,2_RA_FMT,3_RA_FMT,4_RA_FMT,5_RA_FMT,1_IH_FMT,2_IH_FMT,3_IH_FMT,4_IH_FMT,5_IH_FMT,1_RA_FMT_PRO,2_RA_FMT_PRO,3_RA_FMT_PRO,4_RA_FMT_PRO,5_RA_FMT_PRO,1_IH_FMT_PRO,2_IH_FMT_PRO,3_IH_FMT_PRO,4_IH_FMT_PRO,5_IH_FMT_PRO
003a296ba4c55f34d62c224bda66f5a9,135,61,70,76,18,70,0,0,46,0,0,0,143,87,0,0,0,128,24,0
39f1b510d3d0f5a6d28609e5a26641a9,60,29,57,86,26,41,37,8,22,37,45,41,67,41,47,49,38,69,69,34
e7e6949ffbc9aa02d519eae3f3a8e1ff,149,80,94,0,4,43,71,36,5,2,123,8,17,77,0,34,25,85,5,24
8d16493f61b4859028a7a760a82751ce,129,103,50,173,22,52,39,24,33,32,42,25,46,23,35,7,25,13,22,5
5a84cbca09090824be95118781802f82,48,64,25,0,17,37,15,8,41,20,21,23,29,41,36,93,99,62,41,91
b539fc5b8526efb37342c72b3766b72f,8,7,10,0,42,20,44,50,128,131,80,60,0,35,37,3,3,38,35,57
ece8f3889c05b3350152571f8dda9ab7,31,12,12,16,17,62,82,42,27,7,85,86,88,73,90,10,0,16,20,7
bf611493002f5918a68778bde2def567,0,42,25,76,22,23,51,0,42,36,58,35,65,65,25,58,43,36,58,48
0f276b28ea3ba352f6fd667c1e298c38,62,126,111,0,34,15,18,0,70,31,0,43,0,0,0,26,33,47,48,34
a6bfdb3176b2fc52c2e55ef46213f792,45,35,24,33,26,20,60,12,19,15,24,29,22,11,0,70,39,71,124,56
e5f421f77127c381ff85107a2d059a54,89,34,61,7,0,0,0,0,0,4,149,0,0,150,0,91,135,9,0,13
aa72cb690f877a365de8223b4466671b,127,31,121,0,0,0,0,14,12,6,0,0,0,0,0,0,0,324,132,0
af140e3881d1c74ce8b17a5c8979dfa5,33,0,50,0,45,38,23,59,0,0,24,0,37,75,45,56,94,35,42,61
943604f71971b419a2367b530186303f,26,19,41,54,27,38,57,67,57,52,80,0,22,52,0,34,38,35,31,28
da655131b22bfd130476359a287ed672,15,18,14,0,26,18,10,9,19,6,37,0,79,84,42,118,145,17,25,11
646ce7e45794e2cacc0d6acf2cf3c6ed,138,96,21,0,4,10,12,0,4,9,62,22,62,104,36,25,22,45,9,21
acd07c6a53e9685d44560fd7dd60321e,34,38,44,7,34,30,36,48,40,51,48,46,32,44,50,20,25,14,29,31
325ce268c8bbe026198a5ca3dbaad5b9,31,11,18,8,9,10,5,6,18,19,24,3,15,47,16,138,194,24,29,63
4cdb801ba4f26caf078e68b0277da28f,5,0,0,0,78,37,17,33,17,17,52,2,94,71,0,55,84,34,26,33
1e040db0048bb4067f6d355cb45648dd,0,0,0,36,8,9,0,0,0,11,68,23,20,63,55,109,76,51,107,25
3cec387e3e89982bf989b857f7c296d1,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,319,345,0,0,10
c6a3cc351a282eee0fa3b42ee844f702,29,18,42,12,22,34,12,36,8,7,73,64,62,64,64,22,35,18,24,22
30598f0d14cb4af2c3150ebb17667b95,0,0,117,623,5,0,0,0,0,0,0,0,4,5,76,0,0,11,9,91
1b23e74fb43b2b8a2d20b91679cf8e0e,0,0,0,0,0,0,0,0,0,0,33,47,63,46,106,45,34,63,60,136
acf76b1f22c9536ca982df6f9b0219da,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,250,356,0,28,0
a828d86ae6b1ae29eea5092499bc99df,38,9,92,0,20,19,0,8,6,10,112,27,65,67,38,42,33,9,12,9
e1f3dca7a444e322745b21064cf6fbd2,43,37,25,74,31,33,40,16,27,27,41,27,14,35,22,34,37,31,30,10
020f48a69f9bf40e54fbac885f94695a,10,13,9,226,133,0,0,0,11,4,0,0,15,61,200,12,16,0,0,0
759456dbbcad59cfb49ade008456f99e,63,60,24,0,17,19,39,31,34,19,33,32,24,28,40,19,47,27,21,15
aae626812acc320e71e44fd7ab0561b0,64,47,28,27,16,21,19,0,41,17,41,44,17,45,28,42,47,25,0,0
7c8a0d2635e31c74417fcffbcd03d70c,21,0,0,69,0,0,0,0,0,0,0,0,0,0,0,232,288,0,0,20
8da18b476b64f6f053647455b6890f80,56,36,57,0,35,10,7,0,8,0,14,3,10,18,17,54,86,54,30,65
7215e6796de3e835c8879da79b1b708d,26,24,32,11,19,37,28,46,30,13,16,22,32,38,12,33,29,27,12,21
d23bbe506e4ded19e9dd017b65275bab,14,20,20,8,28,6,14,50,22,20,32,25,44,39,31,36,34,22,35,28
1eeda6a9e8ebf5b66a6506ec39ce3f2a,33,38,13,0,10,25,29,0,11,6,22,30,37,52,22,43,29,32,42,22
f360732d7a498f5f743e6ece134507fd,39,17,23,0,13,11,21,10,13,6,61,29,59,54,19,40,32,21,9,18
f3028e6e91b09bef83702f3ed00265b1,54,102,14,37,0,39,63,0,34,5,10,18,2,4,7,10,15,33,0,44
1c281deaf71c6d702d1ddadfa953eac6,27,13,9,0,17,10,11,3,16,8,12,9,28,36,19,77,138,25,10,23
94a5fb3e94fa10a3e1368857462ede35,15,19,17,0,17,18,19,58,44,40,23,15,30,22,14,15,14,40,49,0
9fd4ed7cfada5a311820796110d9884b,0,8,0,0,0,41,133,59,54,92,0,0,0,0,18,11,16,30,7,4
7a6a394fe7285b50ee54b56f316a3944,23,18,10,14,14,15,34,3,3,0,48,29,32,40,31,44,59,34,23,10
daae43be6cf06991f62a085ba8bff3b6,42,32,33,108,10,54,23,13,8,29,15,6,28,20,18,20,16,12,13,12
da2dfebc255ed8bff986e5313ef04c5f,0,0,0,0,0,41,77,56,96,61,23,19,0,8,23,0,0,16,4,8
c19c906ba229e4d72bd09632ac4b6a9a,18,0,0,0,22,0,0,0,0,0,129,0,13,161,39,13,27,24,10,14
df0e3d38eec730326754d8c17a8b8efe,0,1,0,0,0,35,37,20,5,87,11,15,20,15,10,0,0,9,1,144
958d78a02bef69a795806f97adb117ea,27,35,15,29,22,18,0,0,25,10,9,0,33,32,0,27,72,57,22,42
d49783e7800974b5f2bcce554e26072e,0,0,0,0,0,0,0,0,30,0,39,72,0,11,0,57,0,71,99,59
787c5d7a23ff7a1fce4e4fc04c3f5a7c,44,16,114,0,46,0,0,0,15,10,19,6,0,10,0,61,69,14,19,0
d80a7337f5b24c90a8cc2dd4d9896e61,9,5,40,323,0,0,0,0,0,54,0,8,2,7,0,56,62,6,0,3
960aceada5d86b21b6f3c6a38d14822d,0,0,0,0,0,60,53,38,68,62,15,19,0,11,20,0,0,22,21,16
fced56b8fe3abb5b162d60023e73da20,0,0,0,0,0,0,0,27,72,74,16,0,63,32,38,13,0,48,0,15
f0a3b85336766433b385b8e5d23182d2,46,8,17,27,10,2,0,10,6,17,27,21,25,22,31,42,36,30,37,12
efa934e07029e49f4b1959b33c677589,32,15,12,0,0,29,27,37,0,0,31,26,0,31,23,41,23,36,46,35
cf875aa5375131a1cd5c9fb01cca5f1e,42,41,32,0,70,64,0,0,72,14,7,0,0,4,0,26,0,17,22,7
12691e42e5f8f917a8ca55e38670afdd,12,23,0,0,30,11,21,38,130,55,23,0,0,9,0,11,0,26,9,19
c803726dac1aad6846d209e915cea275,52,18,24,0,21,8,0,0,0,7,6,0,0,21,3,65,138,57,12,12
de689038d335b0e895f90f08f59c3ab1,37,31,27,0,0,41,44,0,14,20,0,17,33,29,23,28,45,0,0,0
2491b6fd794f93238622a0a4f4e586fb,76,35,130,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f1b5d72cafaaea7b61c531cb90452d9c,17,5,5,7,46,15,0,12,8,9,0,12,34,35,15,51,63,21,17,12
11bc72b11af066726c613fcba7b0ea7a,23,55,44,0,73,0,9,0,0,0,40,19,21,35,43,0,0,0,0,0
9fac45309651b2907fa6715ab127400c,15,5,0,0,24,9,0,4,3,4,10,0,13,27,12,86,159,0,0,14
6d4ab2107d92228c6751838e7dbbe697,8,2,7,0,20,24,0,0,13,15,32,0,63,51,0,52,59,27,13,0
814891c975c02f29829aad91e7525455,8,10,7,0,17,51,14,15,47,44,92,0,0,68,6,0,0,0,0,0
a07dbd6b81597b810de81ac0ad6caf26,19,8,10,24,43,24,10,28,57,8,4,1,31,63,33,1,0,10,12,3
922d33a2963d3e87a3d4df6b82371235,0,0,0,0,21,0,0,0,0,0,0,0,0,2,5,0,0,5,4,298
5999c79b4a0c61c19a9cf4cc497f1514,22,16,18,0,19,0,0,10,0,0,28,0,0,21,5,122,131,0,16,0
0dbf1596f24a2fb472df5f2a0a5a3ea0,58,48,61,0,1,0,6,21,5,18,23,13,5,4,21,8,0,0,21,72
1645db79a8f157daf4bb9bb6ce393e1d,23,31,24,7,9,6,18,7,22,2,22,29,28,18,20,15,18,23,21,16
1970af775bfecdd2ca50180b69989ee0,35,16,15,0,12,17,2,13,18,14,18,2,5,12,8,89,70,10,9,8
dd3f1d27af1be908d3c3fd143339aa9c,23,7,0,54,60,24,19,0,0,0,71,0,7,13,51,0,0,87,14,0
3562d3a0374b9f2ed190c1a7aa7dedb7,18,7,10,0,27,8,0,0,0,8,41,8,64,56,50,17,23,0,0,0
e9c6d3d5afd5747c2901ce47079bde79,8,15,0,0,237,20,0,23,0,10,0,0,0,0,0,0,0,0,0,0
4feb426703234389503a7b994773d50c,0,10,0,0,9,12,14,0,10,5,15,13,15,39,34,36,15,64,38,12
264e289b9e0c6779eabf9772f7981d48,16,14,9,0,5,10,3,11,27,20,43,15,11,37,16,24,44,7,5,0
3bee9c539413e8c83c7ea15b4fb8e9e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,221,0,0,0
42bff550a49ca360c6036958d3026f99,9,10,18,9,23,11,33,40,9,3,0,9,0,0,26,17,9,30,35,33
31217980cfdf305668ba9c8482a34e81,28,27,46,0,0,7,0,0,0,0,20,0,0,0,0,65,108,22,21,0
11401ee29264e6f60b65371a2601cd07,13,58,10,0,19,27,4,17,9,1,0,0,0,0,0,30,12,44,47,35
ef3a40c4f26b5019887d73ceaaab84f2,0,0,0,0,0,0,0,0,0,0,16,0,12,34,35,21,0,59,44,83
09fe878f37fdb48cdc41797c656c05b2,11,6,7,0,32,13,9,9,7,6,42,4,48,29,24,24,34,4,8,0
f3e9d78daeea42d345080748e31ae3dd,43,17,21,21,42,16,0,0,39,7,0,0,0,0,0,13,13,40,10,36
5331f57ab0f2e416cce5e856ca82bc07,0,2,0,18,0,0,0,0,9,3,50,19,33,36,11,61,53,0,1,0
34acf094640c87c401f04665eb4c44fd,2,0,0,0,4,5,1,0,0,5,5,0,35,23,13,70,128,2,13,0
fca9a6cab4d479ef5a1201da4efb3d21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,167,0,0,0
6aabafb49961a8603b6242b71562c56a,21,28,17,0,16,7,11,0,9,1,32,63,21,37,41,0,0,0,0,0
62dc76a09326c359be5946507e82e9fa,19,0,4,34,14,20,15,27,2,15,20,48,19,17,12,11,15,14,21,10
c0edea80a4d623eb75e03daa3536a4dc,34,29,0,38,16,0,0,0,23,14,57,0,0,39,30,8,0,0,34,0
d5f4e724b7fd8b007ef230dbd43c7a3c,18,8,0,0,5,26,45,28,30,59,54,0,0,18,0,0,0,0,0,0
b8b18f589b294a4bf53dd603995c4963,14,13,12,0,7,13,23,22,23,23,41,0,19,27,0,14,18,12,16,5
05dbbf0301a9625e1f1a41470a92f7fe,0,4,8,0,4,0,20,13,8,4,29,23,0,4,9,21,2,42,49,38
af55dfcf7516e6d1d45fa6f16ebc1ca3,11,6,7,25,15,10,0,0,13,18,27,15,25,10,21,14,24,18,20,13
65564efafb80060ef155c05105b8ed0b,30,18,27,10,13,26,7,9,5,9,0,18,8,2,10,20,22,10,21,17
c6f5c4d8343f60687af5d72396766263,0,0,0,0,17,7,0,0,48,72,0,0,0,0,17,28,51,14,16,0
731f05b0a2cd5a295eed1bf67823ec44,0,0,0,0,0,0,0,3,82,23,0,0,0,0,0,11,0,55,55,43
a5bc90c05d64d08c02c400ee977a91f0,0,0,0,0,0,43,57,151,43,4,0,0,0,0,0,0,0,0,0,0
096aa868afaffdd4bd938b9faa623a2a,42,25,3,0,5,8,8,0,3,0,16,0,46,25,0,15,18,13,0,42
85a3e769a721c55ca2b9880a56a43373,12,5,8,11,22,6,8,8,0,3,50,0,24,36,8,20,20,14,11,5
9a28e6b1aaae69477039957bc8a1222f,66,20,101,38,8,11,0,0,22,28,0,0,0,0,0,0,0,0,0,0
241358149d169fe77c6d1070671e4264,6,6,0,0,12,0,0,0,0,0,9,0,145,65,8,0,0,0,0,0
